First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
Joseph,Nardella,FO,91,Whipsnakes,6,6,3,3,3,0,3,8,0.375,5,0.625,0,0,0,0,5,1,65,0,0,0.7246376811594203,100,38,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe,LoCascio,M,5,Whipsnakes,6,5,5,5,5,0,0,18,0.2777777777777778,12,0.6666666666666666,2,0,1,0.5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy,Sieverts,M,20,Whipsnakes,6,1,1,1,1,0,0,4,0.25,3,0.75,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay,Carlson,A,32,Whipsnakes,6,13,12,12,12,0,1,26,0.46153846153846156,22,0.8461538461538461,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Jake,Bernhardt,M,83,Whipsnakes,6,0,0,0,0,0,0,2,0,2,1,1,0,1,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Drew,Snider,M,23,Waterdogs,5,4,4,4,4,0,0,26,0.15384615384615385,15,0.5769230769230769,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Connor,Kelly,M,40,Waterdogs,5,10,9,7,5,2,1,31,0.22580645161290322,18,0.5806451612903226,9,0.2222222222222222,5,0.5555555555555556,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bryce,Young,D,6,Whipsnakes,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0
Sergio,Salcido,M,48,Chaos,7,8,7,7,7,0,1,26,0.2692307692307692,18,0.6923076923076923,6,0,2,0.3333333333333333,5,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sergio,Perkovic,M,16,Redwoods,6,15,15,9,3,6,0,35,0.2571428571428571,25,0.7142857142857143,11,0.5454545454545454,9,0.8181818181818182,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Patrick,Harbeson,SSDM,40,Redwoods,6,2,1,1,1,0,1,6,0.16666666666666666,5,0.8333333333333334,1,0,1,1,3,11,16,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Nick,Ossello,M,13,Redwoods,6,0,0,0,0,0,0,5,0,2,0.4,2,0,1,0.5,0,5,4,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Matt,Kavanagh,A,10,Redwoods,6,11,7,7,7,0,4,24,0.2916666666666667,16,0.6666666666666666,0,0,0,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kyle,Harrison,M,18,Redwoods,6,4,3,2,1,1,1,9,0.2222222222222222,2,0.2222222222222222,2,0.5,1,0.5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John,Sexton,LSM,46,Redwoods,6,0,0,0,0,0,0,4,0,2,0.5,2,0,1,0.5,1,9,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Joe,Walters,M,1,Redwoods,6,9,4,3,2,1,5,13,0.23076923076923078,8,0.6153846153846154,1,1,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Garrett,Epple,D,11,Redwoods,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,17,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Eddy,Glazener,D,30,Redwoods,6,0,0,0,0,0,0,3,0,1,0.3333333333333333,2,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Brent,Adams,M,8,Redwoods,6,6,5,5,5,0,1,30,0.16666666666666666,17,0.5666666666666667,7,0,3,0.42857142857142855,7,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
